"","x"
"453",23
"454",5
"455",7
"456",5
"457",5
"458",15
"459",4
"460",23
"461",17
"462",5
"463",5
"464",5
"465",8
"466",3
"467",18
"468",4
"469",11
"470",4
"471",1
"472",16
"473",7
"474",25
"475",4
"476",4
"477",3
"478",5
"479",5
"480",7
"481",5
"482",22
"483",5
"484",3
"485",5
"486",2
"487",11
"488",6
"489",16
"490",17
"491",8
"492",22
"493",7
"494",5
"495",7
"496",5
"497",6
"498",4
"499",5
"500",4
"501",10
"502",7
"503",5
"504",25
"505",5
"506",7
"507",7
"508",7
"509",5
"510",5
"511",5
"512",12
"513",5
"514",5
"515",5
"516",10
"517",5
"518",5
"519",5
"520",7
"521",1
"522",7
"523",18
"524",4
"525",1
"526",5
"527",5
"528",10
"529",5
"530",3
"531",10
"532",21
"533",7
"534",3
"535",17
"536",5
"537",3
"538",5
"539",5
"540",5
"541",4
"542",26
"543",15
"544",24
"545",7
"546",5
"547",5
"548",3
"549",4
"550",3
"551",3
"552",13
"553",8
"554",7
"555",3
"556",3
"557",4
"558",17
"559",7
"560",5
"561",3
"562",4
"563",4
"564",24
"565",1
"566",3
"567",3
"568",4
"569",4
"570",17
"571",19
"572",5
"573",16
"574",7
"575",17
"576",4
"577",5
"578",25
"579",5
"580",3
"581",3
"582",4
"583",5
"584",5
"585",13
"586",7
"587",4
"588",5
"589",1
"590",6
"591",6
"592",5
"593",6
"594",1
"595",5
"596",7
"597",1
"598",5
"599",3
"600",23
"601",23
"602",18
"603",15
"604",4
"605",3
"606",4
"607",4
"608",7
"609",5
"610",22
"611",3
"612",22
"613",18
"614",5
"615",22
"616",5
"617",20
"618",3
"619",22
"620",15
"621",7
"622",5
"623",5
"624",7
"625",6
"626",17
"627",24
"628",13
"629",5
"630",18
"631",3
"632",5
"633",4
"634",3
"635",15
"636",3
"637",18
"638",4
"639",18
"640",7
"641",3
"642",20
"643",4
"644",5
"645",21
"646",12
"647",3
"648",4
"649",5
"650",9
"651",26
"652",7
"653",12
"654",3
"655",9
"656",5
"657",1
"658",7
"659",5
"660",3
"661",22
"662",3
"663",7
"664",5
"665",7
"666",5
"667",5
"668",5
"669",5
"670",4
"671",4
"672",4
"673",5
"674",6
"675",4
"676",11
"677",7
"678",6
"679",6
"680",4
"681",5
"682",12
"683",7
"684",11
"685",5
"686",17
"687",1
"688",5
"689",1
"690",10
"691",25
"692",5
"693",9
"694",18
"695",5
"696",18
"697",6
"698",25
"699",6
"700",7
"701",7
"702",5
"703",5
"704",3
"705",6
"706",22
"707",4
"708",3
"709",5
"710",5
"711",6
"712",11
"713",15
"714",5
"715",15
"716",7
"717",17
"718",5
"719",5
"720",1
"721",17
"722",5
"723",7
"724",5
"725",18
"726",17
"727",3
"728",18
"729",5
"730",5
"731",2
"732",7
"733",25
"734",3
"735",7
"736",4
"737",5
"738",7
"739",5
"740",3
"741",23
"742",5
"743",3
"744",7
"745",3
"746",3
"747",3
"748",6
"749",4
"750",20
"751",5
"752",5
"753",5
"754",5
"755",5
"756",18
"757",3
"758",15
"759",7
"760",4
"761",5
"762",7
"763",14
"764",3
"765",3
"766",3
"767",8
"768",5
"769",5
"770",10
"771",9
"772",4
"773",7
"774",3
"775",4
"776",5
"777",5
"778",5
"779",7
"780",6
"781",5
"782",3
"783",11
"784",17
"785",3
"786",7
"787",5
"788",7
"789",5
"790",4
"791",5
"792",7
"793",13
"794",3
"795",6
"796",6
"797",10
"798",7
"799",3
"800",15
"801",3
"802",3
"803",5
"804",3
"805",16
"806",6
"807",25
"808",11
"809",4
"810",5
"811",6
"812",10
"813",3
"814",1
"815",5
"816",6
"817",3
"818",4
"819",3
"820",4
"821",5
"822",7
"823",6
"824",5
"825",6
"826",5
"827",5
"828",18
"829",3
"830",3
"831",7
"832",4
"833",6
"834",6
"835",3
"836",5
"837",4
"838",5
"839",7
"840",5
"841",1
"842",16
"843",7
"844",7
"845",8
"846",4
"847",6
"848",4
"849",5
"850",3
"851",12
"852",7
"853",1
"854",12
"855",4
"856",3
"857",7
"858",6
"859",5
"860",3
"861",5
"862",17
"863",5
"864",1
"865",3
"866",24
"867",17
"868",3
"869",10
"870",5
"871",16
"872",7
"873",5
"874",10
"875",3
"876",5
"877",4
"878",5
"879",5
"880",6
"881",5
"882",7
"883",5
"884",6
"885",25
"886",5
"887",4
"888",5
"889",4
"890",6
"891",17
"892",7
"893",17
"894",11
"895",5
"896",14
"897",4
"898",16
"899",5
"900",3
"901",3
"902",8
"903",4
"904",6
"905",7
"906",6
"907",3
"908",7
"909",3
"910",6
"911",5
"912",3
"913",17
"914",4
"915",26
"916",5
"917",6
"918",5
"919",7
"920",1
"921",16
"922",11
"923",7
"924",7
"925",24
"926",3
"927",7
"928",4
"929",4
"930",5
"931",5
"932",23
"933",7
"934",11
"935",5
"936",7
"937",7
"938",7
"939",5
"940",17
"941",22
"942",5
"943",5
"944",5
"945",6
"946",26
"947",6
"948",12
"949",5
"950",4
"951",6
"952",3
"953",1
"954",8
"955",6
"956",3
"957",3
"958",5
"959",10
"960",5
"961",4
"962",13
"963",14
"964",5
"965",5
"966",5
"967",17
"968",1
"969",24
"970",17
"971",1
"972",5
"973",10
"974",5
"975",6
"976",3
"977",20
"978",26
"979",11
"980",3
"981",7
"982",3
"983",4
"984",3
"985",13
"986",5
"987",4
"988",7
"989",2
"990",7
"991",10
"992",5
"993",3
"994",7
"995",5
"996",3
"997",5
"998",22
"999",4
"1000",4
"1001",10
"1002",1
"1003",7
"1004",11
"1005",5
"1006",11
"1007",17
"1008",13
"1009",17
"1010",7
"1011",10
"1012",3
"1013",4
"1014",11
"1015",7
"1016",5
"1017",2
"1018",17
"1019",1
"1020",3
"1021",22
"1022",5
"1023",5
"1024",3
"1025",5
"1026",1
"1027",7
"1028",4
"1029",6
"1030",5
"1031",6
"1032",5
"1033",11
"1034",5
"1035",26
"1036",4
"1037",7
"1038",3
"1039",17
"1040",5
"1041",5
"1042",16
"1043",3
"1044",7
"1045",5
"1046",10
"1047",2
"1048",4
"1049",18
"1050",4
"1051",5
"1052",3
"1053",5
"1054",5
"1055",5
"1056",4
"1057",7
"1058",6
"1059",4
"1060",5
"1061",5
"1062",4
"1063",5
"1064",12
"1065",25
"1066",5
"1067",3
"1068",4
"1069",4
"1070",4
"1071",1
"1072",17
"1073",5
"1074",3
"1075",24
"1076",3
"1077",25
"1078",7
"1079",5
"1080",6
"1081",17
"1082",5
"1083",3
"1084",26
"1085",5
"1086",5
"1087",5
"1088",10
"1089",10
"1090",5
"1091",5
"1092",4
"1093",18
"1094",26
"1095",3
"1096",9
"1097",5
"1098",10
"1099",13
"1100",3
"1101",3
"1102",18
"1103",16
"1104",22
"1105",16
"1106",22
"1107",7
"1108",24
"1109",5
"1110",6
"1111",1
"1112",6
"1113",3
"1114",5
"1115",7
"1116",4
"1117",5
"1118",7
"1119",7
"1120",3
"1121",5
"1122",1
"1123",11
"1124",5
"1125",5
"1126",5
"1127",5
"1128",6
"1129",8
"1130",5
"1131",5
"1132",9
"1133",5
"1134",5
"1135",5
"1136",8
"1137",5
"1138",5
"1139",5
"1140",4
"1141",1
"1142",7
"1143",3
"1144",10
"1145",5
"1146",3
"1147",3
"1148",5
"1149",5
"1150",7
"1151",17
"1152",7
"1153",17
"1154",18
"1155",1
"1156",6
"1157",26
"1158",1
"1159",10
"1160",6
"1161",17
"1162",6
"1163",7
"1164",13
"1165",3
"1166",5
"1167",3
"1168",16
"1169",6
"1170",3
"1171",3
"1172",3
"1173",7
"1174",6
"1175",17
"1176",18
"1177",6
"1178",7
"1179",5
"1180",15
"1181",3
"1182",1
"1183",5
"1184",5
"1185",5
"1186",21
"1187",3
"1188",16
"1189",7
"1190",5
"1191",5
"1192",4
"1193",4
"1194",4
"1195",20
"1196",5
"1197",16
"1198",11
"1199",9
"1200",11
"1201",5
"1202",3
"1203",6
"1204",17
"1205",5
"1206",6
"1207",16
"1208",4
"1209",3
"1210",11
"1211",7
"1212",14
"1213",3
"1214",5
"1215",13
"1216",5
"1217",3
"1218",22
"1219",3
"1220",3
"1221",4
"1222",5
"1223",5
"1224",3
"1225",4
"1226",7
"1227",5
"1228",3
"1229",4
"1230",17
"1231",6
"1232",3
"1233",5
"1234",10
"1235",6
"1236",3
"1237",15
"1238",7
"1239",3
"1240",4
"1241",7
"1242",3
"1243",7
"1244",7
"1245",13
"1246",22
"1247",1
"1248",7
"1249",3
"1250",10
"1251",3
"1252",3
"1253",12
"1254",4
"1255",12
"1256",5
"1257",5
"1258",7
"1259",6
"1260",3
"1261",5
"1262",6
"1263",3
"1264",16
"1265",13
"1266",4
"1267",7
"1268",17
"1269",4
"1270",26
"1271",6
"1272",24
"1273",1
"1274",3
"1275",3
"1276",3
"1277",10
"1278",4
"1279",2
"1280",5
"1281",7
"1282",3
"1283",3
"1284",3
"1285",3
"1286",14
"1287",7
"1288",4
"1289",9
"1290",5
"1291",7
"1292",1
"1293",18
"1294",7
"1295",5
"1296",10
"1297",5
"1298",5
"1299",7
"1300",4
"1301",25
"1302",18
"1303",7
"1304",5
"1305",26
"1306",5
"1307",3
"1308",12
"1309",5
"1310",7
"1311",18
"1312",7
"1313",1
"1314",5
"1315",4
"1316",6
"1317",5
"1318",6
"1319",5
"1320",1
"1321",4
"1322",5
"1323",6
"1324",7
"1325",5
"1326",25
"1327",5
"1328",4
"1329",5
"1330",3
"1331",10
"1332",14
"1333",7
"1334",4
"1335",4
"1336",4
"1337",10
"1338",2
"1339",5
"1340",5
"1341",3
"1342",17
"1343",5
"1344",5
"1345",5
"1346",5
"1347",3
"1348",15
"1349",3
"1350",22
"1351",3
"1352",17
"1353",8
"1354",17
"1355",7
"1356",3
"1357",6
"1358",3
"1359",7
"1360",7
"1361",18
"1362",24
"1363",5
"1364",5
"1365",8
"1366",11
"1367",10
"1368",5
"1369",6
"1370",7
"1371",7
"1372",6
"1373",4
"1374",17
"1375",26
"1376",1
"1377",3
"1378",8
"1379",13
"1380",3
"1381",5
"1382",4
"1383",26
"1384",4
"1385",6
"1386",17
"1387",3
"1388",5
"1389",8
"1390",27
"1391",5
"1392",5
"1393",7
"1394",7
"1395",5
"1396",3
"1397",3
"1398",3
"1399",7
"1400",11
"1401",5
"1402",5
"1403",15
"1404",13
"1405",5
"1406",7
"1407",18
"1408",4
"1409",5
"1410",5
"1411",10
"1412",6
"1413",18
"1414",4
"1415",24
"1416",6
"1417",10
"1418",12
"1419",1
"1420",5
"1421",5
"1422",16
"1423",1
"1424",3
"1425",26
"1426",5
"1427",7
"1428",4
"1429",12
"1430",3
"1431",3
"1432",5
"1433",4
"1434",4
"1435",4
"1436",5
"1437",4
"1438",4
"1439",5
"1440",11
"1441",6
"1442",3
"1443",5
"1444",5
"1445",13
"1446",3
"1447",3
"1448",5
"1449",6
"1450",3
"1451",3
"1452",17
"1453",24
"1454",3
"1455",4
"1456",3
"1457",4
"1458",5
"1459",7
"1460",4
"1461",3
"1462",17
"1463",5
"1464",5
"1465",3
"1466",7
"1467",1
"1468",8
"1469",9
"1470",11
"1471",7
"1472",7
"1473",3
"1474",3
"1475",3
"1476",5
"1477",22
"1478",4
"1479",12
"1480",11
"1481",3
"1482",16
"1483",11
"1484",3
"1485",5
"1486",3
"1487",7
"1488",17
"1489",5
"1490",4
"1491",7
"1492",5
"1493",4
"1494",5
"1495",4
"1496",5
"1497",7
"1498",5
"1499",2
"1500",12
"1501",3
"1502",7
"1503",3
"1504",3
"1505",3
"1506",6
"1507",7
"1508",4
"1509",7
"1510",5
"1511",3
"1512",6
"1513",5
"1514",7
"1515",3
"1516",17
"1517",5
"1518",4
"1519",5
"1520",4
"1521",12
"1522",7
"1523",5
"1524",7
"1525",22
"1526",3
"1527",11
"1528",3
"1529",4
"1530",6
"1531",11
"1532",13
"1533",7
"1534",4
"1535",10
"1536",5
"1537",6
"1538",20
"1539",3
"1540",21
"1541",2
"1542",17
"1543",5
"1544",3
"1545",7
"1546",7
"1547",13
"1548",7
"1549",3
"1550",17
"1551",5
"1552",5
"1553",11
"1554",7
"1555",5
"1556",7
"1557",9
"1558",5
"1559",5
"1560",4
"1561",7
"1562",7
"1563",7
"1564",5
"1565",5
"1566",5
"1567",16
"1568",4
"1569",11
"1570",2
"1571",3
"1572",7
"1573",3
"1574",17
"1575",3
"1576",17
"1577",11
"1578",3
"1579",5
"1580",22
"1581",26
"1582",13
"1583",4
"1584",17
"1585",17
"1586",4
"1587",15
"1588",5
"1589",3
"1590",5
"1591",5
"1592",4
"1593",5
"1594",5
"1595",1
"1596",17
"1597",11
"1598",11
"1599",5
"1600",13
"1601",5
"1602",5
"1603",7
"1604",3
"1605",12
"1606",10
"1607",10
"1608",5
"1609",3
"1610",13
"1611",3
"1612",17
"1613",3
"1614",5
"1615",23
"1616",22
"1617",9
"1618",5
"1619",10
"1620",14
"1621",17
"1622",3
"1623",4
"1624",5
"1625",3
"1626",10
"1627",13
"1628",3
"1629",3
"1630",11
"1631",27
"1632",9
"1633",7
"1634",4
"1635",1
"1636",18
"1637",5
"1638",5
"1639",9
"1640",4
"1641",6
"1642",5
"1643",12
"1644",6
"1645",3
"1646",5
"1647",6
"1648",7
"1649",7
"1650",8
"1651",11
"1652",5
"1653",5
"1654",5
"1655",1
"1656",26
"1657",3
"1658",5
"1659",3
"1660",23
"1661",3
"1662",17
"1663",3
"1664",4
"1665",3
"1666",6
"1667",3
"1668",5
"1669",3
"1670",7
"1671",5
"1672",3
"1673",5
"1674",5
"1675",6
"1676",5
"1677",1
"1678",5
"1679",3
"1680",15
"1681",3
"1682",7
"1683",5
"1684",5
"1685",16
"1686",3
"1687",6
"1688",5
"1689",5
"1690",3
"1691",5
"1692",3
"1693",3
"1694",5
"1695",16
"1696",5
"1697",7
"1698",4
"1699",7
"1700",4
"1701",5
"1702",5
"1703",17
"1704",7
"1705",4
"1706",5
"1707",1
"1708",5
"1709",3
"1710",10
"1711",22
"1712",11
"1713",25
"1714",23
"1715",4
"1716",11
"1717",14
"1718",7
"1719",3
"1720",5
"1721",4
"1722",4
"1723",17
"1724",5
"1725",12
"1726",5
"1727",5
"1728",1
"1729",17
"1730",5
"1731",5
"1732",11
"1733",7
"1734",7
"1735",5
"1736",23
"1737",4
"1738",7
"1739",18
"1740",6
"1741",4
"1742",4
"1743",3
"1744",5
"1745",7
"1746",5
"1747",5
"1748",3
"1749",22
"1750",11
"1751",7
"1752",13
"1753",3
"1754",6
"1755",5
"1756",19
"1757",3
"1758",4
"1759",11
"1760",6
"1761",7
"1762",5
"1763",8
"1764",17
"1765",7
"1766",3
"1767",6
"1768",5
"1769",6
"1770",25
"1771",10
"1772",22
"1773",9
"1774",6
"1775",4
"1776",5
"1777",12
"1778",10
"1779",5
"1780",6
"1781",26
"1782",25
"1783",5
"1784",4
"1785",3
"1786",1
"1787",4
"1788",1
"1789",3
"1790",1
"1791",2
"1792",5
"1793",4
"1794",9
"1795",3
"1796",5
"1797",17
"1798",17
"1799",3
"1800",6
"1801",12
"1802",10
"1803",5
"1804",16
"1805",3
"1806",7
"1807",3
"1808",3
"1809",11
"1810",5
"1811",9
"1812",6
"1813",3
"1814",7
"1815",4
"1816",1
"1817",7
"1818",7
"1819",6
"1820",7
"1821",5
"1822",3
"1823",10
"1824",15
"1825",3
"1826",3
"1827",12
"1828",4
"1829",4
"1830",10
"1831",5
"1832",18
"1833",7
"1834",3
"1835",5
"1836",7
"1837",4
"1838",5
"1839",5
"1840",21
"1841",4
"1842",16
"1843",16
"1844",6
"1845",3
"1846",4
"1847",1
"1848",3
"1849",3
"1850",7
"1851",1
"1852",5
"1853",12
"1854",7
"1855",10
"1856",7
"1857",7
"1858",22
"1859",22
"1860",24
"1861",5
"1862",13
"1863",3
"1864",3
"1865",6
"1866",11
"1867",7
"1868",6
"1869",5
"1870",3
"1871",1
"1872",13
"1873",21
"1874",2
"1875",6
"1876",22
"1877",7
"1878",23
"1879",4
"1880",4
"1881",7
"1882",7
"1883",3
"1884",4
"1885",10
"1886",24
"1887",17
"1888",5
"1889",4
"1890",3
"1891",3
"1892",6
"1893",5
"1894",7
"1895",5
"1896",5
"1897",16
"1898",6
"1899",6
"1900",6
"1901",6
"1902",7
"1903",5
"1904",13
"1905",3
"1906",17
"1907",17
"1908",17
"1909",12
"1910",3
"1911",3
"1912",6
"1913",7
"1914",3
"1915",5
"1916",5
"1917",5
"1918",10
"1919",10
"1920",5
"1921",7
"1922",26
"1923",13
"1924",11
"1925",17
"1926",7
"1927",5
"1928",5
"1929",5
"1930",5
"1931",3
"1932",5
"1933",11
"1934",5
"1935",11
"1936",5
"1937",4
"1938",3
"1939",3
"1940",5
"1941",3
"1942",5
"1943",5
"1944",12
"1945",10
"1946",5
"1947",23
"1948",5
"1949",7
"1950",17
"1951",15
"1952",3
"1953",3
"1954",4
"1955",3
"1956",8
"1957",3
"1958",10
"1959",7
"1960",5
"1961",15
"1962",7
"1963",5
"1964",2
"1965",2
"1966",25
"1967",3
"1968",3
"1969",16
"1970",4
"1971",1
"1972",22
"1973",1
"1974",17
"1975",3
"1976",7
"1977",3
"1978",5
"1979",1
"1980",6
"1981",17
"1982",4
"1983",5
"1984",5
"1985",3
"1986",17
"1987",3
"1988",10
"1989",7
"1990",5
"1991",8
"1992",2
"1993",14
"1994",4
"1995",5
"1996",5
"1997",5
"1998",5
"1999",25
"2000",4
"2001",24
"2002",4
"2003",4
"2004",4
"2005",7
"2006",7
"2007",7
"2008",7
"2009",3
"2010",17
"2011",23
"2012",6
"2013",10
"2014",4
"2015",11
"2016",3
"2017",21
"2018",5
"2019",4
"2020",4
"2021",8
"2022",3
"2023",5
"2024",6
"2025",5
"2026",5
"2027",13
"2028",15
"2029",3
"2030",17
"2031",6
"2032",3
"2033",5
"2034",3
"2035",1
"2036",3
"2037",16
"2038",6
"2039",22
"2040",17
"2041",7
"2042",4
"2043",5
"2044",7
"2045",17
"2046",7
"2047",22
"2048",7
"2049",3
"2050",3
"2051",4
"2052",7
"2053",3
"2054",16
"2055",5
"2056",10
"2057",18
"2058",5
"2059",6
"2060",19
"2061",3
"2062",24
"2063",4
"2064",23
"2065",6
"2066",3
"2067",3
"2068",23
"2069",5
"2070",6
"2071",5
"2072",5
"2073",7
"2074",5
"2075",23
"2076",10
"2077",16
"2078",7
"2079",5
"2080",25
"2081",7
"2082",25
"2083",3
"2084",5
"2085",7
"2086",7
"2087",3
"2088",7
"2089",3
"2090",7
"2091",5
"2092",3
"2093",10
"2094",6
"2095",5
"2096",5
"2097",7
"2098",7
"2099",4
"2100",5
"2101",3
"2102",6
"2103",7
"2104",13
"2105",3
"2106",4
"2107",6
"2108",5
"2109",5
"2110",1
"2111",5
"2112",5
"2113",5
"2114",9
"2115",4
"2116",3
"2117",7
"2118",5
"2119",17
"2120",16
"2121",7
"2122",16
"2123",7
"2124",5
"2125",4
"2126",14
"2127",5
"2128",4
"2129",3
"2130",7
"2131",25
"2132",6
"2133",26
"2134",5
"2135",13
"2136",7
"2137",10
"2138",14
"2139",18
"2140",3
"2141",3
"2142",4
"2143",7
"2144",17
"2145",6
"2146",12
"2147",5
"2148",4
"2149",4
"2150",5
"2151",7
"2152",5
"2153",3
"2154",5
"2155",3
"2156",6
"2157",5
"2158",2
"2159",2
"2160",5
"2161",5
"2162",19
"2163",7
"2164",5
"2165",5
"2166",18
"2167",11
"2168",7
"2169",3
"2170",5
"2171",7
"2172",1
"2173",17
"2174",16
"2175",17
"2176",3
"2177",4
"2178",10
"2179",10
"2180",5
"2181",9
"2182",5
"2183",5
"2184",3
"2185",5
"2186",3
"2187",7
"2188",7
"2189",15
"2190",6
"2191",6
"2192",14
"2193",17
"2194",23
"2195",26
"2196",3
"2197",6
"2198",5
"2199",9
"2200",1
"2201",7
"2202",3
"2203",11
"2204",5
"2205",3
"2206",24
"2207",11
"2208",5
"2209",25
"2210",5
"2211",6
"2212",3
"2213",7
"2214",17
"2215",11
"2216",5
"2217",5
"2218",17
"2219",5
"2220",3
"2221",3
"2222",7
"2223",5
"2224",6
"2225",5
"2226",15
"2227",1
"2228",4
"2229",4
"2230",23
"2231",5
"2232",9
"2233",5
"2234",17
"2235",7
"2236",3
"2237",5
"2238",12
"2239",5
"2240",7
"2241",4
"2242",1
"2243",11
"2244",5
"2245",6
"2246",6
"2247",5
"2248",1
"2249",15
"2250",5
"2251",3
"2252",4
"2253",7
"2254",9
"2255",6
"2256",5
"2257",3
"2258",15
"2259",5
"2260",3
"2261",7
"2262",7
"2263",7
"2264",3
"2265",5
"2266",17
"2267",5
"2268",5
"2269",5
"2270",18
"2271",4
"2272",3
"2273",11
"2274",15
"2275",5
"2276",6
"2277",5
"2278",3
"2279",17
"2280",24
"2281",4
"2282",1
"2283",7
"2284",5
"2285",7
"2286",6
"2287",5
"2288",3
"2289",12
"2290",10
"2291",11
"2292",10
"2293",5
"2294",5
"2295",5
"2296",4
"2297",22
"2298",24
"2299",7
"2300",17
"2301",7
"2302",5
"2303",7
"2304",5
"2305",3
"2306",6
"2307",5
"2308",3
"2309",10
"2310",5
"2311",5
"2312",5
"2313",3
"2314",7
"2315",4
"2316",11
"2317",7
"2318",17
"2319",3
"2320",4
"2321",4
"2322",10
"2323",4
"2324",1
"2325",4
"2326",19
"2327",3
"2328",5
"2329",5
"2330",3
"2331",6
"2332",3
"2333",5
"2334",1
"2335",9
"2336",15
"2337",4
"2338",16
"2339",10
"2340",17
"2341",7
"2342",7
"2343",4
"2344",5
"2345",7
"2346",4
"2347",5
"2348",5
"2349",5
"2350",5
"2351",3
"2352",6
"2353",5
"2354",3
"2355",17
"2356",7
"2357",13
"2358",5
"2359",4
"2360",11
"2361",26
"2362",15
"2363",5
"2364",18
"2365",5
"2366",5
"2367",27
"2368",5
"2369",4
"2370",4
"2371",5
"2372",5
"2373",18
"2374",5
"2375",5
"2376",22
"2377",9
"2378",12
"2379",17
"2380",6
"2381",4
"2382",5
"2383",7
"2384",17
"2385",26
"2386",7
"2387",5
"2388",10
"2389",18
"2390",4
"2391",14
"2392",7
"2393",9
"2394",17
"2395",24
"2396",25
"2397",7
"2398",24
"2399",6
"2400",5
"2401",3
"2402",4
"2403",17
"2404",3
"2405",5
"2406",6
"2407",7
"2408",7
"2409",5
"2410",6
"2411",7
"2412",27
"2413",3
"2414",16
"2415",4
"2416",4
"2417",1
"2418",5
"2419",15
"2420",23
"2421",8
"2422",13
"2423",19
"2424",24
"2425",4
"2426",5
"2427",3
"2428",12
"2429",5
"2430",4
"2431",5
"2432",5
"2433",5
"2434",3
"2435",22
"2436",13
"2437",23
"2438",3
"2439",7
"2440",4
"2441",21
"2442",17
"2443",3
"2444",4
"2445",5
"2446",10
"2447",15
"2448",5
"2449",22
"2450",7
"2451",22
"2452",13
"2453",4
"2454",12
"2455",5
"2456",5
"2457",17
"2458",10
"2459",11
"2460",7
"2461",7
"2462",18
"2463",5
"2464",18
"2465",27
"2466",5
"2467",3
"2468",21
"2469",17
"2470",5
"2471",16
"2472",11
"2473",15
"2474",5
"2475",15
"2476",1
"2477",6
"2478",4
"2479",16
"2480",10
"2481",5
"2482",7
"2483",16
"2484",6
"2485",5
"2486",7
"2487",3
"2488",3
"2489",2
"2490",5
"2491",4
"2492",5
"2493",12
"2494",5
"2495",4
"2496",4
"2497",5
"2498",5
